id,selectedDay,date,project,liste,delay,client,email,phone,priority,isDoneDate,isDoneProject,isDoneListe,isDoneDelay,isDoneClient,isDoneMail,isDonePhone
"5","lundi","24/02/2026 09:32","","","24/02/2026 09:32","","","","option3","false","false","false","false","false","false","false"
"6","mardi","24/02/2026 09:32","","","24/02/2026 09:32","","","","option3","false","false","false","false","false","false","false"
"1","vendredi","24/02/2026 09:31","","","24/02/2026 09:30","","","","option3","false","false","false","false","false","false","false"
"0","vendredi","24/02/2026 09:31","","","24/02/2026 09:31","","","","option3","false","false","false","false","false","false","false"
"2","vendredi","24/02/2026 09:31","","","24/02/2026 09:31","","","","option3","false","false","false","false","false","false","false"
"3","vendredi","24/02/2026 09:31","","","24/02/2026 09:31","","","","option3","false","false","false","false","false","false","false"
"4","vendredi","24/02/2026 09:32","","","24/02/2026 09:32","","","","option3","false","false","false","false","false","false","false"
"7","vendredi","24/02/2026 09:34","","","24/02/2026 09:34","","","","option3","false","false","false","false","false","false","false"
"8","vendredi","24/02/2026 09:34","","","24/02/2026 09:34","","","","option3","false","false","false","false","false","false","false"
"9","vendredi","24/02/2026 09:34","","","24/02/2026 09:34","","","","option3","false","false","false","false","false","false","false"
"10","vendredi","24/02/2026 09:34","","","24/02/2026 09:34","","","","option3","false","false","false","false","false","false","false"
"13","vendredi","24/02/2026 09:35","","","24/02/2026 09:35","","","","option3","false","false","false","false","false","false","false"
"14","vendredi","24/02/2026 09:35","","","24/02/2026 09:35","","","","option3","false","false","false","false","false","false","false"
"15","vendredi","24/02/2026 09:35","","","24/02/2026 09:35","","","","option3","false","false","false","false","false","false","false"
"16","vendredi","24/02/2026 09:35","","","24/02/2026 09:35","","","","option3","false","false","false","false","false","false","false"
"0","vendredi","24/02/2026 09:35","","","24/02/2026 09:35","","","","option3","false","false","false","false","false","false","false"
"1","vendredi","24/02/2026 09:35","","","24/02/2026 09:35","","","","option3","false","false","false","false","false","false","false"
"2","vendredi","24/02/2026 09:35","","","24/02/2026 09:35","","","","option3","false","false","false","false","false","false","false"
"3","vendredi","24/02/2026 09:35","","","24/02/2026 09:35","","","","option3","false","false","false","false","false","false","false"
"4","vendredi","24/02/2026 09:36","","","24/02/2026 09:36","","","","option3","false","false","false","false","false","false","false"
"5","vendredi","24/02/2026 09:39","","","24/02/2026 09:39","","","","option3","false","false","false","false","false","false","false"
"6","vendredi","24/02/2026 09:39","","","24/02/2026 09:39","","","","option3","false","false","false","false","false","false","false"
"7","vendredi","24/02/2026 09:39","","","24/02/2026 09:39","","","","option3","false","false","false","false","false","false","false"
"8","vendredi","24/02/2026 09:39","","","24/02/2026 09:39","","","","option3","false","false","false","false","false","false","false"
"9","vendredi","24/02/2026 09:39","","","24/02/2026 09:39","","","","option3","false","false","false","false","false","false","false"
"10","vendredi","24/02/2026 09:39","","","24/02/2026 09:39","","","","option3","false","false","false","false","false","false","false"
"0","vendredi","24/02/2026 09:39","","","24/02/2026 09:39","","","","option3","false","false","false","false","false","false","false"
"1","vendredi","24/02/2026 09:39","","","24/02/2026 09:39","","","","option3","false","false","false","false","false","false","false"
"2","vendredi","24/02/2026 09:39","","","24/02/2026 09:39","","","","option3","false","false","false","false","false","false","false"
"3","vendredi","24/02/2026 09:39","","","24/02/2026 09:39","","","","option3","false","false","false","false","false","false","false"
"4","vendredi","24/02/2026 09:39","","","24/02/2026 09:39","","","","option3","false","false","false","false","false","false","false"
"0","vendredi","24/02/2026 09:39","","","24/02/2026 09:39","","","","option3","false","false","false","false","false","false","false"
"1","vendredi","24/02/2026 09:40","","","24/02/2026 09:40","","","","option3","false","false","false","false","false","false","false"
"2","vendredi","24/02/2026 09:40","","","24/02/2026 09:40","","","","option3","false","false","false","false","false","false","false"
"3","vendredi","24/02/2026 09:40","","","24/02/2026 09:40","","","","option3","false","false","false","false","false","false","false"
"0","vendredi","24/02/2026 09:40","","","24/02/2026 09:40","","","","option3","false","false","false","false","false","false","false"
"1","vendredi","24/02/2026 09:40","","","24/02/2026 09:40","","","","option3","false","false","false","false","false","false","false"
"0","vendredi","24/02/2026 09:40","","","24/02/2026 09:40","","","","option3","false","false","false","false","false","false","false"
"1","vendredi","24/02/2026 09:40","","","24/02/2026 09:40","","","","option3","false","false","false","false","false","false","false"
"2","vendredi","24/02/2026 09:40","","","24/02/2026 09:40","","","","option3","false","false","false","false","false","false","false"
"3","vendredi","24/02/2026 09:40","","","24/02/2026 09:40","","","","option3","false","false","false","false","false","false","false"
"4","vendredi","24/02/2026 09:40","","","24/02/2026 09:40","","","","option3","false","false","false","false","false","false","false"
"5","vendredi","24/02/2026 09:40","","","24/02/2026 09:40","","","","option3","false","false","false","false","false","false","false"
"6","vendredi","24/02/2026 09:40","","","24/02/2026 09:40","","","","option3",false,false,false,false,false,false,false
